编号,姓名,交路所处天数,出发车站,到达车站,工作时长,休息时长,所属交路长度,身份信息（0-乘务员；1-乘务长）,作休类型（1-作；0-休）,所属交路编号,是否请假（0-是；1-否）,工作天数,休息天数
1,赵1,0,南京,南京,0,0,5,1,0,1,1,2,3
2,赵1,1,南京,上海,819,621,5,1,1,1,1,2,3
3,赵1,2,上海,南京,819,621,5,1,1,1,1,2,3
4,赵1,3,南京,南京,0,1440,5,1,0,1,1,2,3
5,赵1,4,南京,南京,0,1440,5,1,0,1,1,2,3
6,赵1,5,南京,南京,0,1440,5,1,0,1,1,2,3
7,赵2,0,南京,南京,0,0,5,1,0,1,1,2,3
8,赵2,1,南京,上海,819,621,5,1,1,1,1,2,3
9,赵2,2,上海,南京,819,621,5,1,1,1,1,2,3
10,赵2,3,南京,南京,0,1440,5,1,0,1,1,2,3
11,赵2,4,南京,南京,0,1440,5,1,0,1,1,2,3
12,赵2,5,南京,南京,0,1440,5,1,0,1,1,2,3
13,赵3,0,南京,南京,0,0,5,1,0,1,1,2,3
14,赵3,1,南京,南京,0,1440,5,1,0,1,1,2,3
15,赵3,2,南京,上海,819,621,5,1,1,1,1,2,3
16,赵3,3,上海,南京,819,621,5,1,1,1,1,2,3
17,赵3,4,南京,南京,0,1440,5,1,0,1,1,2,3
18,赵3,5,南京,南京,0,1440,5,1,0,1,1,2,3
19,赵4,0,南京,南京,0,0,5,1,0,1,1,2,3
20,赵4,1,南京,南京,0,1440,5,1,0,1,1,2,3
21,赵4,2,南京,上海,819,621,5,1,1,1,1,2,3
22,赵4,3,上海,南京,819,621,5,1,1,1,1,2,3
23,赵4,4,南京,南京,0,1440,5,1,0,1,1,2,3
24,赵4,5,南京,南京,0,1440,5,1,0,1,1,2,3
25,赵5,0,南京,南京,0,0,5,1,0,1,1,2,3
26,赵5,1,南京,南京,0,1440,5,1,0,1,1,2,3
27,赵5,2,南京,南京,0,1440,5,1,0,1,1,2,3
28,赵5,3,南京,上海,819,621,5,1,1,1,1,2,3
29,赵5,4,上海,南京,819,621,5,1,1,1,1,2,3
30,赵5,5,南京,南京,0,1440,5,1,0,1,1,2,3
31,赵6,0,南京,南京,0,0,5,1,0,1,1,2,3
32,赵6,1,南京,南京,0,1440,5,1,0,1,1,2,3
33,赵6,2,南京,南京,0,1440,5,1,0,1,1,2,3
34,赵6,3,南京,上海,819,621,5,1,1,1,1,2,3
35,赵6,4,上海,南京,819,621,5,1,1,1,1,2,3
36,赵6,5,南京,南京,0,1440,5,1,0,1,1,2,3
37,赵7,0,南京,南京,0,0,5,1,0,1,1,2,3
38,赵7,1,南京,南京,0,1440,5,1,0,1,1,2,3
39,赵7,2,南京,南京,0,1440,5,1,0,1,1,2,3
40,赵7,3,南京,南京,0,1440,5,1,0,1,1,2,3
41,赵7,4,南京,上海,819,621,5,1,1,1,1,2,3
42,赵7,5,上海,南京,819,621,5,1,1,1,1,2,3
43,赵8,0,南京,南京,0,0,5,1,0,1,1,2,3
44,赵8,1,南京,南京,0,1440,5,1,0,1,1,2,3
45,赵8,2,南京,南京,0,1440,5,1,0,1,1,2,3
46,赵8,3,南京,南京,0,1440,5,1,0,1,1,2,3
47,赵8,4,南京,上海,819,621,5,1,1,1,1,2,3
48,赵8,5,上海,南京,819,621,5,1,1,1,1,2,3
49,赵9,0,南京,南京,0,0,5,1,0,1,1,2,3
50,赵9,1,上海,南京,819,621,5,1,1,1,1,2,3
51,赵9,2,南京,南京,0,1440,5,1,0,1,1,2,3
52,赵9,3,南京,南京,0,1440,5,1,0,1,1,2,3
53,赵9,4,南京,南京,0,1440,5,1,0,1,1,2,3
54,赵9,5,南京,上海,819,621,5,1,1,1,1,2,3
55,赵10,0,南京,南京,0,0,5,1,0,1,1,2,3
56,赵10,1,上海,南京,819,621,5,1,1,1,1,2,3
57,赵10,2,南京,南京,0,1440,5,1,0,1,1,2,3
58,赵10,3,南京,南京,0,1440,5,1,0,1,1,2,3
59,赵10,4,南京,南京,0,1440,5,1,0,1,1,2,3
60,赵10,5,南京,上海,819,621,5,1,1,1,1,2,3
61,赵11,0,南京,南京,0,0,5,0,0,1,1,2,3
62,赵11,1,南京,上海,819,621,5,0,1,1,1,2,3
63,赵11,2,上海,南京,819,621,5,0,1,1,1,2,3
64,赵11,3,南京,南京,0,1440,5,0,0,1,1,2,3
65,赵11,4,南京,南京,0,1440,5,0,0,1,1,2,3
66,赵11,5,南京,南京,0,1440,5,0,0,1,1,2,3
67,赵12,0,南京,南京,0,0,5,0,0,1,1,2,3
68,赵12,1,南京,上海,819,621,5,0,1,1,1,2,3
69,赵12,2,上海,南京,819,621,5,0,1,1,1,2,3
70,赵12,3,南京,南京,0,1440,5,0,0,1,1,2,3
71,赵12,4,南京,南京,0,1440,5,0,0,1,1,2,3
72,赵12,5,南京,南京,0,1440,5,0,0,1,1,2,3
73,赵13,0,南京,南京,0,0,5,0,0,1,1,2,3
74,赵13,1,南京,上海,819,621,5,0,1,1,1,2,3
75,赵13,2,上海,南京,819,621,5,0,1,1,1,2,3
76,赵13,3,南京,南京,0,1440,5,0,0,1,1,2,3
77,赵13,4,南京,南京,0,1440,5,0,0,1,1,2,3
78,赵13,5,南京,南京,0,1440,5,0,0,1,1,2,3
79,赵14,0,南京,南京,0,0,5,0,0,1,1,2,3
80,赵14,1,南京,上海,819,621,5,0,1,1,1,2,3
81,赵14,2,上海,南京,819,621,5,0,1,1,1,2,3
82,赵14,3,南京,南京,0,1440,5,0,0,1,1,2,3
83,赵14,4,南京,南京,0,1440,5,0,0,1,1,2,3
84,赵14,5,南京,南京,0,1440,5,0,0,1,1,2,3
85,赵15,0,南京,南京,0,0,5,0,0,1,1,2,3
86,赵15,1,南京,南京,0,1440,5,0,0,1,1,2,3
87,赵15,2,南京,上海,819,621,5,0,1,1,1,2,3
88,赵15,3,上海,南京,819,621,5,0,1,1,1,2,3
89,赵15,4,南京,南京,0,1440,5,0,0,1,1,2,3
90,赵15,5,南京,南京,0,1440,5,0,0,1,1,2,3
91,赵16,0,南京,南京,0,0,5,0,0,1,1,2,3
92,赵16,1,南京,南京,0,1440,5,0,0,1,1,2,3
93,赵16,2,南京,上海,819,621,5,0,1,1,1,2,3
94,赵16,3,上海,南京,819,621,5,0,1,1,1,2,3
95,赵16,4,南京,南京,0,1440,5,0,0,1,1,2,3
96,赵16,5,南京,南京,0,1440,5,0,0,1,1,2,3
97,赵17,0,南京,南京,0,0,5,0,0,1,1,2,3
98,赵17,1,南京,南京,0,1440,5,0,0,1,1,2,3
99,赵17,2,南京,上海,819,621,5,0,1,1,1,2,3
100,赵17,3,上海,南京,819,621,5,0,1,1,1,2,3
101,赵17,4,南京,南京,0,1440,5,0,0,1,1,2,3
102,赵17,5,南京,南京,0,1440,5,0,0,1,1,2,3
103,赵18,0,南京,南京,0,0,5,0,0,1,1,2,3
104,赵18,1,南京,南京,0,1440,5,0,0,1,1,2,3
105,赵18,2,南京,上海,819,621,5,0,1,1,1,2,3
106,赵18,3,上海,南京,819,621,5,0,1,1,1,2,3
107,赵18,4,南京,南京,0,1440,5,0,0,1,1,2,3
108,赵18,5,南京,南京,0,1440,5,0,0,1,1,2,3
109,赵19,0,南京,南京,0,0,5,0,0,1,1,2,3
110,赵19,1,南京,南京,0,1440,5,0,0,1,1,2,3
111,赵19,2,南京,南京,0,1440,5,0,0,1,1,2,3
112,赵19,3,南京,上海,819,621,5,0,1,1,1,2,3
113,赵19,4,上海,南京,819,621,5,0,1,1,1,2,3
114,赵19,5,南京,南京,0,1440,5,0,0,1,1,2,3
115,赵20,0,南京,南京,0,0,5,0,0,1,1,2,3
116,赵20,1,南京,南京,0,1440,5,0,0,1,1,2,3
117,赵20,2,南京,南京,0,1440,5,0,0,1,1,2,3
118,赵20,3,南京,上海,819,621,5,0,1,1,1,2,3
119,赵20,4,上海,南京,819,621,5,0,1,1,1,2,3
