编号,CrewID,姓名,交路所处天数,出发车站,到达车站,工作时长,休息时长,所属交路长度,身份信息（0-乘务员；1-乘务长）,作休类型（1-作；0-休）,所属交路编号,是否请假（0-是；1-否）,工作天数,休息天数
1,1,赵1,0,南京,南京,0,0,5,1,0,1,1,2,3
2,1,赵1,1,南京,上海,819,0,5,1,1,1,1,2,3
3,1,赵1,2,上海,南京,819,0,5,1,1,1,1,2,3
4,1,赵1,3,南京,南京,0,24,5,1,0,1,1,2,3
5,1,赵1,4,南京,南京,0,24,5,1,0,1,1,2,3
6,1,赵1,5,南京,南京,0,24,5,1,0,1,1,2,3
7,2,赵2,0,南京,南京,0,0,5,1,0,1,1,2,3
8,2,赵2,1,南京,上海,819,0,5,1,1,1,1,2,3
9,2,赵2,2,上海,南京,819,0,5,1,1,1,1,2,3
10,2,赵2,3,南京,南京,0,24,5,1,0,1,1,2,3
11,2,赵2,4,南京,南京,0,24,5,1,0,1,1,2,3
12,2,赵2,5,南京,南京,0,24,5,1,0,1,1,2,3
13,3,赵3,0,南京,南京,0,0,5,1,0,1,1,2,3
14,3,赵3,1,南京,南京,0,24,5,1,0,1,1,2,3
15,3,赵3,2,南京,上海,819,0,5,1,1,1,1,2,3
16,3,赵3,3,上海,南京,819,0,5,1,1,1,1,2,3
17,3,赵3,4,南京,南京,0,24,5,1,0,1,1,2,3
18,3,赵3,5,南京,南京,0,24,5,1,0,1,1,2,3
19,4,赵4,0,南京,南京,0,0,5,1,0,1,1,2,3
20,4,赵4,1,南京,南京,0,24,5,1,0,1,1,2,3
21,4,赵4,2,南京,上海,819,0,5,1,1,1,1,2,3
22,4,赵4,3,上海,南京,819,0,5,1,1,1,1,2,3
23,4,赵4,4,南京,南京,0,24,5,1,0,1,1,2,3
24,4,赵4,5,南京,南京,0,24,5,1,0,1,1,2,3
25,5,赵5,0,南京,南京,0,0,5,1,0,1,1,2,3
26,5,赵5,1,南京,南京,0,24,5,1,0,1,1,2,3
27,5,赵5,2,南京,南京,0,24,5,1,0,1,1,2,3
28,5,赵5,3,南京,上海,819,0,5,1,1,1,1,2,3
29,5,赵5,4,上海,南京,819,0,5,1,1,1,1,2,3
30,5,赵5,5,南京,南京,0,24,5,1,0,1,1,2,3
31,6,赵6,0,南京,南京,0,0,5,1,0,1,1,2,3
32,6,赵6,1,南京,南京,0,24,5,1,0,1,1,2,3
33,6,赵6,2,南京,南京,0,24,5,1,0,1,1,2,3
34,6,赵6,3,南京,上海,819,0,5,1,1,1,1,2,3
35,6,赵6,4,上海,南京,819,0,5,1,1,1,1,2,3
36,6,赵6,5,南京,南京,0,24,5,1,0,1,1,2,3
37,7,赵7,0,南京,南京,0,0,5,1,0,1,1,2,3
38,7,赵7,1,南京,南京,0,24,5,1,0,1,1,2,3
39,7,赵7,2,南京,南京,0,24,5,1,0,1,1,2,3
40,7,赵7,3,南京,南京,0,24,5,1,0,1,1,2,3
41,7,赵7,4,南京,上海,819,0,5,1,1,1,1,2,3
42,7,赵7,5,上海,南京,819,0,5,1,1,1,1,2,3
